Frame,Time,WRUX,WRUY,WRUZ,WRRX,WRRY,WRRZ,FARX,FARY,FARZ,FAUX,FAUY,FAUZ,CMC1X,CMC1Y,CMC1Z,CMC2X,CMC2Y,CMC2Z,CMC5X,CMC5Y,CMC5Z,MCP1X,MCP1Y,MCP1Z,MCP2X,MCP2Y,MCP2Z,MCP3X,MCP3Y,MCP3Z,MCP4X,MCP4Y,MCP4Z,MCP5X,MCP5Y,MCP5Z,IPX,IPY,IPZ,FT1X,FT1Y,FT1Z,PIP2X,PIP2Y,PIP2Z,DIP2X,DIP2Y,DIP2Z,FT2X,FT2Y,FT2Z,PIP3X,PIP3Y,PIP3Z,DIP3X,DIP3Y,DIP3Z,FT3X,FT3Y,FT3Z,PIP4X,PIP4Y,PIP4Z,DIP4X,DIP4Y,DIP4Z,FT4X,FT4Y,FT4Z,PIP5X,PIP5Y,PIP5Z,DIP5X,DIP5Y,DIP5Z,FT5X,FT5Y,FT5Z
1,0,501.615,-11.334,-60.155,452.667,-7.76,-59.679,465.007,4.669,-16.373,508.194,0.962,-7.468,428.836,-28.577,-93.102,462.601,4.376,-102.573,502.353,-10.283,-102.459,418.664,-25.353,-129.041,455.58,19.822,-144.757,483.313,16.379,-144.256,499.657,4.979,-137.161,513.732,-8.094,-132.833,417.976,-33.223,-167.065,428.893,-38.965,-186.703,458.648,1.629,-199.671,453.915,-27.432,-213.928,452.738,-43.1,-216.008,492.956,4.815,-200.469,482.363,-22.715,-222.462,479.641,-39.601,-227.925,513.493,-5.628,-185.136,505.145,-29.359,-211.463,494.405,-40.392,-222.045,527.839,-20.681,-174.312,520.86,-33.916,-194.653,513.326,-40.064,-202.407
2,0.00667,501.613,-11.333,-60.152,452.659,-7.765,-59.672,464.992,4.66,-16.372,508.193,0.958,-7.466,428.844,-28.564,-93.104,462.591,4.37,-102.573,502.353,-10.28,-102.464,418.664,-25.362,-129.044,455.582,19.817,-144.753,483.317,16.385,-144.257,499.666,4.981,-137.156,513.728,-8.091,-132.834,417.972,-33.238,-167.061,428.892,-38.975,-186.703,458.647,1.64,-199.675,453.91,-27.434,-213.918,452.731,-43.1,-216.013,492.968,4.834,-200.461,482.368,-22.712,-222.458,479.655,-39.601,-227.911,513.484,-5.63,-185.137,505.133,-29.369,-211.446,494.395,-40.38,-222.039,527.853,-20.66,-174.306,520.865,-33.925,-194.649,513.325,-40.067,-202.411
3,0.01333,501.617,-11.333,-60.152,452.659,-7.761,-59.679,464.987,4.661,-16.378,508.195,0.966,-7.46,428.846,-28.571,-93.1,462.586,4.361,-102.571,502.351,-10.293,-102.458,418.652,-25.346,-129.047,455.578,19.816,-144.751,483.31,16.385,-144.255,499.667,4.983,-137.163,513.728,-8.088,-132.826,417.981,-33.241,-167.057,428.892,-38.968,-186.706,458.631,1.638,-199.674,453.912,-27.43,-213.919,452.731,-43.097,-216.008,492.963,4.818,-200.469,482.371,-22.718,-222.457,479.659,-39.611,-227.91,513.488,-5.624,-185.135,505.135,-29.369,-211.448,494.398,-40.385,-222.043,527.841,-20.66,-174.308,520.862,-33.917,-194.647,513.321,-40.062,-202.407
4,0.02,501.609,-11.328,-60.141,452.674,-7.711,-59.683,465.002,4.746,-16.373,508.144,0.95,-7.469,428.847,-28.575,-93.098,462.254,4.127,-102.526,502.349,-10.284,-102.463,418.66,-25.352,-129.038,455.654,19.936,-144.653,483.332,16.378,-144.28,499.585,5.11,-137.195,513.729,-8.093,-132.829,417.976,-33.236,-167.058,428.901,-38.973,-186.704,458.715,1.727,-199.621,453.95,-27.437,-213.8,451.852,-42.051,-216.194,492.114,4.885,-199.941,483.11,-23.182,-221.935,479.651,-39.612,-227.912,513.596,-5.392,-185.206,505.142,-29.359,-211.447,494.029,-40.01,-221.973,527.848,-20.606,-174.268,521.101,-34.239,-194.414,513.325,-40.061,-202.408
5,0.02667,501.616,-11.332,-60.145,452.671,-7.691,-59.691,465.003,4.756,-16.379,508.149,0.962,-7.491,428.852,-28.579,-93.106,462.263,4.154,-102.536,502.345,-10.288,-102.474,418.654,-25.386,-129.081,455.792,20.033,-144.634,483.33,16.375,-144.3,499.575,5.102,-137.171,513.711,-8.097,-132.825,417.943,-33.235,-167.095,428.907,-38.989,-186.718,458.7,1.702,-199.627,454.024,-27.498,-213.869,451.823,-42.059,-216.221,492.127,4.865,-199.971,483.092,-23.217,-221.931,479.678,-39.598,-227.934,513.588,-5.413,-185.218,505.087,-29.399,-211.441,493.985,-40.036,-221.941,527.864,-20.611,-174.294,521.059,-34.286,-194.396,513.273,-40.103,-202.402
6,0.03333,501.598,-11.363,-60.116,452.662,-7.658,-59.676,465.01,4.805,-16.322,508.121,0.944,-7.417,428.863,-28.582,-93.092,462.204,4.128,-102.479,502.322,-10.314,-102.434,418.664,-25.388,-129.022,455.702,19.962,-144.651,483.34,16.372,-144.242,499.549,5.075,-137.141,513.686,-8.119,-132.788,418.033,-33.29,-167.033,428.913,-38.967,-186.699,458.702,1.698,-199.582,453.948,-27.413,-213.812,451.827,-42.029,-216.197,492.138,4.863,-199.967,483.112,-23.174,-221.95,479.624,-39.558,-227.846,513.587,-5.438,-185.209,505.093,-29.397,-211.442,493.986,-40.027,-221.947,527.856,-20.598,-174.28,521.071,-34.277,-194.4,513.281,-40.096,-202.4
7,0.04,501.596,-11.355,-60.108,452.66,-7.65,-59.67,464.994,4.806,-16.316,508.124,0.951,-7.408,428.874,-28.596,-93.092,462.201,4.128,-102.483,502.311,-10.313,-102.429,418.66,-25.374,-129.014,455.801,20.08,-144.624,483.351,16.379,-144.247,499.538,5.057,-137.111,513.668,-8.131,-132.779,418.036,-33.274,-167.032,428.917,-38.97,-186.702,458.707,1.714,-199.578,453.948,-27.399,-213.806,451.833,-42.031,-216.197,492.116,4.886,-199.949,483.11,-23.171,-221.951,479.607,-39.562,-227.813,513.582,-5.432,-185.208,505.087,-29.401,-211.441,493.971,-40.038,-221.926,527.86,-20.6,-174.285,521.048,-34.283,-194.39,513.26,-40.113,-202.394
8,0.04667,501.592,-11.356,-60.097,452.675,-7.665,-59.672,465.002,4.784,-16.323,508.14,0.959,-7.405,428.872,-28.6,-93.091,462.208,4.129,-102.481,502.318,-10.295,-102.423,418.659,-25.351,-129.025,455.802,20.094,-144.622,483.343,16.373,-144.247,499.56,5.066,-137.105,513.683,-8.119,-132.772,418.036,-33.27,-167.034,428.903,-38.961,-186.703,458.7,1.703,-199.58,453.924,-27.426,-213.788,451.846,-42.037,-216.183,492.112,4.886,-199.941,483.119,-23.174,-221.942,479.591,-39.589,-227.784,513.565,-5.448,-185.207,505.09,-29.402,-211.427,493.969,-40.04,-221.933,527.87,-20.609,-174.287,521.044,-34.268,-194.387,513.282,-40.099,-202.408
9,0.05333,501.588,-11.358,-60.093,452.677,-7.661,-59.674,465.012,4.793,-16.321,508.139,0.957,-7.406,428.888,-28.602,-93.091,462.205,4.129,-102.474,502.315,-10.305,-102.425,418.658,-25.361,-129.016,455.678,20.001,-144.62,483.343,16.368,-144.245,499.56,5.067,-137.139,513.688,-8.113,-132.765,418.043,-33.266,-167.03,428.916,-38.963,-186.698,458.688,1.712,-199.574,453.923,-27.416,-213.788,451.831,-42.033,-216.187,492.118,4.896,-199.943,483.123,-23.176,-221.955,479.592,-39.581,-227.77,513.574,-5.446,-185.195,505.079,-29.389,-211.43,493.971,-40.037,-221.927,527.876,-20.604,-174.286,521.04,-34.278,-194.379,513.276,-40.103,-202.397
10,0.06,501.597,-11.357,-60.089,452.669,-7.665,-59.672,465.006,4.795,-16.322,508.136,0.952,-7.412,428.88,-28.6,-93.087,462.209,4.127,-102.472,502.318,-10.297,-102.418,418.658,-25.363,-129.02,455.699,19.997,-144.626,483.349,16.377,-144.243,499.567,5.077,-137.131,513.677,-8.125,-132.761,418.047,-33.278,-167.036,428.915,-38.959,-186.704,458.694,1.712,-199.57,453.928,-27.402,-213.789,451.837,-42.022,-216.185,492.121,4.9,-199.945,483.133,-23.173,-221.946,479.582,-39.589,-227.765,513.577,-5.443,-185.201,505.084,-29.395,-211.435,493.964,-40.036,-221.926,527.873,-20.607,-174.287,521.036,-34.279,-194.38,513.265,-40.111,-202.394
11,0.06667,501.597,-11.353,-60.089,452.67,-7.657,-59.672,464.999,4.79,-16.32,508.134,0.954,-7.399,428.887,-28.596,-93.086,462.206,4.135,-102.471,502.313,-10.299,-102.418,418.665,-25.357,-129.018,455.816,20.085,-144.619,483.347,16.376,-144.237,499.551,5.061,-137.107,513.679,-8.126,-132.759,418.055,-33.277,-167.03,428.921,-38.964,-186.703,458.694,1.701,-199.571,453.93,-27.395,-213.777,451.838,-42.02,-216.185,492.126,4.892,-199.942,483.118,-23.175,-221.955,479.581,-39.585,-227.762,513.582,-5.444,-185.191,505.079,-29.404,-211.435,493.984,-40.029,-221.929,527.875,-20.616,-174.282,521.04,-34.285,-194.383,513.261,-40.11,-202.395
12,0.07333,501.604,-11.368,-60.093,452.674,-7.655,-59.676,464.999,4.794,-16.319,508.128,0.946,-7.408,428.885,-28.594,-93.09,462.208,4.133,-102.476,502.313,-10.303,-102.416,418.678,-25.358,-129.011,455.831,20.088,-144.627,483.348,16.375,-144.236,499.555,5.057,-137.112,513.694,-8.128,-132.758,418.056,-33.274,-167.03,428.928,-38.961,-186.707,458.698,1.711,-199.568,453.926,-27.396,-213.792,451.841,-42.039,-216.19,492.114,4.888,-199.944,483.127,-23.177,-221.949,479.58,-39.588,-227.752,513.582,-5.442,-185.188,505.097,-29.408,-211.43,493.983,-40.033,-221.925,527.872,-20.606,-174.28,521.042,-34.283,-194.38,513.272,-40.102,-202.393
13,0.08,501.6,-11.356,-60.08,452.668,-7.658,-59.675,465.002,4.798,-16.324,508.133,0.959,-7.403,428.879,-28.599,-93.083,462.204,4.127,-102.465,502.319,-10.315,-102.419,418.68,-25.363,-129.017,455.827,20.094,-144.631,483.359,16.374,-144.241,499.557,5.056,-137.108,513.681,-8.137,-132.756,418.06,-33.274,-167.038,428.93,-38.952,-186.704,458.701,1.701,-199.57,453.926,-27.397,-213.785,451.848,-42.032,-216.188,492.122,4.888,-199.942,483.137,-23.182,-221.952,479.563,-39.592,-227.744,513.586,-5.443,-185.184,505.076,-29.405,-211.418,493.975,-40.043,-221.925,527.883,-20.605,-174.283,521.041,-34.28,-194.383,513.283,-40.106,-202.397
